sub,time,trial,stim1,stim2,decision,RT_decision,val1,RT_val1,conf1,RT_conf1,val2,RT_val2,conf2,RT_conf2,conf_decision,RT_conf_decision
82,1.67884E+12,1,-20,-50,1,6.867,,,,,,,,,,
82,1.67884E+12,2,-20,-80,2,8.129,,,,,,,,,,
82,1.67884E+12,3,-50,-80,2,2.079,,,,,,,,,,
82,1.67884E+12,4,-80,-20,1,4.347,14,2.741,5,1.537,14,3.023,6,2.365,6,2.37
82,1.67884E+12,5,-80,-50,2,0.877,13,6.96,6,5.604,13,2.103,7,1.593,6,1.584
82,1.67884E+12,6,-50,-20,2,1.044,14,1.594,6,1.209,12,1.292,6,1.122,7,2.049
82,1.67884E+12,7,50,20,1,3.625,,,,,,,,,,
82,1.67884E+12,8,80,20,2,4.848,,,,,,,,,,
82,1.67884E+12,9,80,50,2,0.986,,,,,,,,,,
82,1.67884E+12,10,50,80,2,1.588,14,9.291,6,2.135,18,5.48,5,1.548,8,3.563
82,1.67884E+12,11,20,50,2,1.243,12,1.94,2,2.435,15,2.839,5,1.103,6,2.1
82,1.67884E+12,12,20,80,2,0.801,12,1.621,5,1.552,14,1.99,4,2.086,7,2.427
82,1.67884E+12,13,50,-20,1,1.662,,,,,,,,,,
82,1.67884E+12,14,-80,80,2,1.108,,,,,,,,,,
82,1.67884E+12,15,-50,80,2,1.449,,,,,,,,,,
82,1.67884E+12,16,-80,20,2,1.563,,,,,,,,,,
82,1.67884E+12,17,20,-50,1,1.148,,,,,,,,,,
82,1.67884E+12,18,80,-20,1,2.007,,,,,,,,,,
82,1.67884E+12,19,20,-20,1,0.867,,,,,,,,,,
82,1.67884E+12,20,-80,50,2,0.894,,,,,,,,,,
82,1.67884E+12,21,-50,50,2,0.592,,,,,,,,,,
82,1.67884E+12,22,80,-80,1,1.297,16,3.57,7,1.801,14,4.674,5,1.411,6,1.501
82,1.67884E+12,23,-20,20,1,0.784,8,1.954,6,2.335,12,2.144,3,1.281,0,4.728
82,1.67884E+12,24,-20,80,1,0.746,5,2.93,6,1.234,6,1.755,4,2.108,4,1.21
82,1.67884E+12,25,-50,20,2,0.979,14,5.404,4,1.216,12,2.799,7,1.634,4,1.288
82,1.67884E+12,26,50,-80,1,2.086,16,2.935,5,1.428,13,1.367,4,3.732,5,1.504
82,1.67884E+12,27,50,-50,1,0.932,12,2.154,7,1.509,12,1.763,5,1.082,5,1.27
82,1.67884E+12,28,20,-80,1,1.144,12,2.246,5,1.023,7,2.738,7,2.164,7,1.148
82,1.67884E+12,29,-20,50,2,0.869,6,2.894,7,2.111,16,2.032,6,1.094,7,1.314
82,1.67884E+12,30,80,-50,1,1.26,13,3.09,5,1.301,8,2.998,7,5.254,5,1.504
84,1.67884E+12,1,-20,80,2,2.271,,,,,,,,,,
84,1.67884E+12,2,20,-80,1,4.28,,,,,,,,,,
84,1.67884E+12,3,-50,80,1,2.721,,,,,,,,,,
84,1.67884E+12,4,20,-20,1,2.235,,,,,,,,,,
84,1.67884E+12,5,-80,50,2,1.085,,,,,,,,,,
84,1.67884E+12,6,20,-50,1,2.88,,,,,,,,,,
84,1.67884E+12,7,-80,80,1,0.751,,,,,,,,,,
84,1.67884E+12,8,-20,50,2,0.77,,,,,,,,,,
84,1.67884E+12,9,50,-50,1,0.824,,,,,,,,,,
84,1.67884E+12,10,50,-80,1,1.01,12,3.09,5,3.66,10,3.479,4,1.216,4,5.121
84,1.67884E+12,11,-80,20,1,0.678,9,98.836,5,1.419,8,2.848,3,1.375,3,1.988
84,1.67884E+12,12,80,-50,2,0.884,11,2.649,3,2.01,13,2.112,2,1.611,6,1.769
84,1.67884E+12,13,-50,50,2,1.471,13,17.236,5,3.126,11,1.516,4,1.237,3,1.926
84,1.67884E+12,14,-50,20,1,2.075,13,2.349,3,1.457,14,21.252,3,1.697,3,2.643
84,1.67884E+12,15,-20,20,1,0.784,8,2.407,2,1.541,7,1.519,1,1.486,3,1.556
84,1.67884E+12,16,80,-20,1,0.695,7,1.933,3,1.697,7,4.75,4,5.103,3,1.565
84,1.67884E+12,17,80,-80,1,1.516,5,1.603,3,1.591,8,2.017,3,1.983,4,1.661
84,1.67884E+12,18,50,-20,1,0.886,11,1.865,4,1.508,6,1.631,4,0.969,7,2.248
84,1.67884E+12,19,50,80,1,0.724,,,,,,,,,,
84,1.67884E+12,20,20,80,2,1.706,,,,,,,,,,
84,1.67884E+12,21,50,20,1,1.135,,,,,,,,,,
84,1.67884E+12,22,20,50,2,1.156,9,1.716,3,1.347,12,1.409,2,1.247,6,1.48
84,1.67884E+12,23,80,50,2,0.659,9,2.629,2,1.371,12,2.602,4,1.527,6,1.913
84,1.67884E+12,24,80,20,2,1.696,5,2.794,3,1.428,5,1.945,2,1.258,3,1.448
84,1.67884E+12,25,-80,-20,2,1.778,,,,,,,,,,
84,1.67884E+12,26,-20,-50,2,1.64,,,,,,,,,,
84,1.67884E+12,27,-80,-50,2,0.951,,,,,,,,,,
84,1.67884E+12,28,-50,-20,1,1.492,8,1.565,4,1.794,6,1.591,3,1.405,2,1.546
84,1.67884E+12,29,-20,-80,1,0.652,7,2.33,5,1.275,8,1.109,5,1.563,2,1.403
84,1.67884E+12,30,-50,-80,1,1.4,10,2.938,4,1.229,7,2.242,2,1.117,6,3.387
85,1.67884E+12,1,50,80,2,4.831,,,,,,,,,,
85,1.67884E+12,2,80,20,1,1.513,,,,,,,,,,
85,1.67884E+12,3,50,20,1,2.757,,,,,,,,,,
85,1.67884E+12,4,80,50,1,1.65,18,3.533,5,2.48,16,3.42,5,1.509,8,5.965
85,1.67884E+12,5,20,80,2,1.305,12,3.99,3,2.389,18,3.808,5,2.392,6,6.378
85,1.67884E+12,6,20,50,2,1.213,12,3.264,3,2.813,16,3.423,6,2.737,7,2.868
85,1.67884E+12,7,-80,-50,2,2.528,,,,,,,,,,
85,1.67884E+12,8,-50,-20,2,6.065,,,,,,,,,,
85,1.67884E+12,9,-80,-20,2,0.942,,,,,,,,,,
85,1.67884E+12,10,-20,-50,1,2.592,8,5.422,4,2.546,6,2.63,4,1.545,5,2.432
85,1.67884E+12,11,-20,-80,1,1.178,8,2.607,4,2.83,2,3.639,6,4.693,5,3.104
85,1.67884E+12,12,-50,-80,1,1.313,6,3.978,6,3.206,2,8.099,8,3.013,7,2.755
85,1.67884E+12,13,80,-20,1,2.136,,,,,,,,,,
85,1.67884E+12,14,80,-50,1,2.113,,,,,,,,,,
85,1.67884E+12,15,-80,20,2,2.555,,,,,,,,,,
85,1.67884E+12,16,50,-50,1,2.008,,,,,,,,,,
85,1.67884E+12,17,-80,50,2,5.537,,,,,,,,,,
85,1.67884E+12,18,-20,20,2,3.095,,,,,,,,,,
85,1.67884E+12,19,-20,50,2,1.49,,,,,,,,,,
85,1.67884E+12,20,-80,80,2,1.83,,,,,,,,,,
85,1.67884E+12,21,20,-50,1,2.07,,,,,,,,,,
85,1.67884E+12,22,-50,20,2,1.456,7,4.89,6,1.311,12,2.238,5,1.649,6,2.912
85,1.67884E+12,23,50,-80,1,1.862,16,3.076,8,11.33,2,2.951,7,2.083,7,8.542
85,1.67884E+12,24,-50,50,2,5.619,8,3.45,7,2.503,16,3.795,7,2.272,7,4.1
85,1.67884E+12,25,80,-80,1,1.781,18,6.016,8,6.44,2,25.414,6,2.607,6,2.286
85,1.67884E+12,26,50,-20,1,1.41,16,4.906,4,8.91,7,3.422,3,3.19,7,2.958
85,1.67884E+12,27,-20,80,2,1.072,7,3.775,6,4,18,2.871,5,2.403,7,2.529
85,1.67884E+12,28,-50,80,2,0.98,7,2.95,1,3.187,18,3.865,8,2.614,9,2.494
85,1.67884E+12,29,20,-20,1,1.795,12,4.079,4,2.535,8,6.476,6,9.225,7,3.141
85,1.67884E+12,30,20,-80,1,2.002,12,2.246,7,14.99,2,3.214,6,2.84,6,2.839
86,1.67884E+12,1,50,80,2,1.625,,,,,,,,,,
86,1.67884E+12,2,80,20,1,3.614,,,,,,,,,,
86,1.67884E+12,3,50,20,1,1.75,,,,,,,,,,
86,1.67884E+12,4,20,80,2,1.184,12,2.638,4,1.311,18,3.628,4,2.137,9,3.238
86,1.67884E+12,5,80,50,1,1.231,18,3.379,3,2.53,15,4.921,2,1.659,9,2.105
86,1.67884E+12,6,20,50,2,1.784,12,3.185,3,1.33,15,2.503,3,3.091,10,2.087
86,1.67884E+12,7,-50,-80,1,8.387,,,,,,,,,,
86,1.67884E+12,8,-20,-80,1,1.455,,,,,,,,,,
86,1.67884E+12,9,-20,-50,1,2.05,,,,,,,,,,
86,1.67884E+12,10,-80,-20,2,1.428,3,3.829,3,1.425,8,2.346,3,1.178,10,3.73
86,1.67884E+12,11,-50,-20,2,0.997,5,3.069,2,2.145,8,1.856,3,1.119,9,2.784
86,1.67884E+12,12,-80,-50,2,1.793,2,2.518,3,2.485,5,3.068,2,2.311,9,2.048
86,1.67884E+12,13,20,-80,1,2.141,,,,,,,,,,
86,1.67884E+12,14,-50,20,2,2.309,,,,,,,,,,
86,1.67884E+12,15,50,-20,1,1.867,,,,,,,,,,
86,1.67884E+12,16,-50,80,2,1.657,,,,,,,,,,
86,1.67884E+12,17,80,-20,1,1.936,,,,,,,,,,
86,1.67884E+12,18,50,-80,1,1.625,,,,,,,,,,
86,1.67884E+12,19,20,-20,1,2.774,,,,,,,,,,
86,1.67884E+12,20,50,-50,1,2.04,,,,,,,,,,
86,1.67884E+12,21,80,-80,1,1.283,,,,,,,,,,
86,1.67884E+12,22,20,-50,1,1.679,12,2.346,3,2.563,5,3.123,3,2.604,10,1.445
86,1.67884E+12,23,-50,50,2,1.028,5,2.436,3,3.247,15,2.956,3,1.348,10,2.282
86,1.67884E+12,24,-20,50,2,1.098,8,2.281,3,1.773,14,2.484,3,1.314,10,1.62
86,1.67884E+12,25,-20,20,2,1.117,8,2.493,3,2.531,12,2.323,4,2.24,10,1.284
86,1.67884E+12,26,-80,50,2,1.397,3,2.365,2,2.501,14,2.547,3,1.536,10,3.043
86,1.67884E+12,27,80,-50,1,1.628,18,2.356,3,1.833,5,3.811,3,1.697,10,1.515
86,1.67884E+12,28,-20,80,2,1.119,8,2.78,3,4.879,17,2.156,3,4.144,10,1.593
86,1.67884E+12,29,-80,20,2,0.819,3,2.47,3,2.128,12,2.412,3,2.269,10,5.627
86,1.67884E+12,30,-80,80,2,1.135,2,1.973,2,1.799,18,2.38,3,1.073,10,1.693
87,1.67884E+12,1,-50,-20,2,2.22,,,,,,,,,,
87,1.67884E+12,2,-80,-50,2,1.918,,,,,,,,,,
87,1.67884E+12,3,-80,-20,2,1.624,,,,,,,,,,
87,1.67884E+12,4,-50,-80,1,1.566,5,4.517,8,1.668,0,2.317,9,2.336,6,3.9
87,1.67884E+12,5,-20,-80,1,0.751,8,3.029,8,1.169,1,2.278,8,1.577,8,2.264
87,1.67884E+12,6,-20,-50,1,0.538,9,2.319,7,1.227,6,2.294,8,1.139,7,5.725
87,1.67884E+12,7,-20,80,2,2.166,,,,,,,,,,
87,1.67884E+12,8,-50,80,2,1.024,,,,,,,,,,
87,1.67884E+12,9,20,-80,1,2.012,,,,,,,,,,
87,1.67884E+12,10,-20,50,2,1.361,,,,,,,,,,
87,1.67884E+12,11,50,-50,1,0.996,,,,,,,,,,
87,1.67884E+12,12,50,-80,1,1.168,,,,,,,,,,
87,1.67884E+12,13,-50,20,2,1.366,,,,,,,,,,
87,1.67884E+12,14,-20,20,2,1.165,,,,,,,,,,
87,1.67884E+12,15,80,-80,1,1.546,,,,,,,,,,
87,1.67884E+12,16,50,-20,1,0.991,15,2.893,7,1.016,8,2.256,8,1.804,9,4.68
87,1.67884E+12,17,20,-50,1,1.093,13,3.2,8,0.869,5,2.266,8,1.46,8,2.481
87,1.67884E+12,18,80,-50,1,0.85,20,2.161,10,1.65,4,2.114,7,1.048,8,2.6
87,1.67884E+12,19,-50,50,2,0.964,6,4.77,8,1.274,14,2.728,8,0.674,7,2.653
87,1.67884E+12,20,-80,50,2,0.909,1,3.14,9,0.721,14,2.241,9,1.196,7,3.042
87,1.67884E+12,21,-80,20,2,1.032,2,2.537,9,0.885,12,1.658,9,1.269,8,2.115
87,1.67884E+12,22,80,-20,1,1.986,19,2.17,9,0.911,9,2.501,8,1.558,8,1.81
87,1.67884E+12,23,-80,80,2,0.738,2,2.106,9,1.397,19,2.221,9,1.249,8,1.793
87,1.67884E+12,24,20,-20,1,1.07,13,2.374,8,1.309,8,1.579,7,1.406,7,2.107
87,1.67884E+12,25,20,80,2,1.498,,,,,,,,,,
87,1.67884E+12,26,20,50,2,1.367,,,,,,,,,,
87,1.67884E+12,27,80,50,1,1.391,,,,,,,,,,
87,1.67884E+12,28,50,20,1,1.084,13,2.115,8,1.028,11,1.553,9,1.275,7,2.558
87,1.67884E+12,29,50,80,2,0.605,15,2.796,9,1.972,19,2.019,10,0.901,9,1.361
87,1.67884E+12,30,80,20,1,0.898,19,1.769,9,1.253,12,1.995,9,1.243,9,1.331
88,1.67884E+12,1,80,20,1,2.228,,,,,,,,,,
88,1.67884E+12,2,80,50,1,1.944,,,,,,,,,,
88,1.67884E+12,3,50,20,1,2.186,,,,,,,,,,
88,1.67884E+12,4,50,80,2,1.358,14,3.679,8,1.35,17,3.813,8,1.047,8,2.13
88,1.67884E+12,5,20,50,2,1.334,14,2.77,7,1.351,15,3.422,8,2.318,7,1.16
88,1.67884E+12,6,20,80,2,0.679,14,3.862,7,1.813,18,1.902,9,1,9,1.803
88,1.67884E+12,7,-50,20,1,1.298,,,,,,,,,,
88,1.67884E+12,8,50,-20,1,2.863,,,,,,,,,,
88,1.67884E+12,9,50,-50,1,2.539,,,,,,,,,,
88,1.67884E+12,10,-80,80,2,1.862,,,,,,,,,,
88,1.67884E+12,11,-20,20,2,1.619,,,,,,,,,,
88,1.67884E+12,12,80,-20,1,1.387,,,,,,,,,,
88,1.67884E+12,13,-80,50,2,1.508,,,,,,,,,,
88,1.67884E+12,14,80,-50,1,1.935,,,,,,,,,,
88,1.67884E+12,15,20,-80,1,2.613,,,,,,,,,,
88,1.67884E+12,16,-50,80,2,3.566,14,2.732,8,1.52,18,3.526,9,1.742,9,7.679
88,1.67884E+12,17,-50,50,2,0.523,17,5.536,8,2.824,16,1.791,9,1.836,8,2.498
88,1.67884E+12,18,-20,50,2,1.094,12,2.415,8,1.312,17,1.805,8,1.127,8,2.185
88,1.67884E+12,19,80,-80,1,0.863,19,3.224,9,1.895,4,3.103,9,1.46,9,1.966
88,1.67884E+12,20,20,-50,2,1.285,13,2.463,8,0.967,15,1.965,8,0.919,9,2.124
88,1.67884E+12,21,-20,80,2,0.67,8,4.2,7,2.209,18,2.647,9,1.504,9,2.422
88,1.67884E+12,22,20,-20,1,0.718,14,2.491,8,0.992,8,2.884,8,1.335,8,1.802
88,1.67884E+12,23,-80,20,2,0.694,3,3.901,9,1.983,15,1.927,7,1.351,8,1.429
88,1.67884E+12,24,50,-80,1,0.806,14,2.808,8,4.632,2,2.07,8,1.64,8,1.426
88,1.67884E+12,25,-20,-80,1,1.969,,,,,,,,,,
88,1.67884E+12,26,-80,-50,2,1.66,,,,,,,,,,
88,1.67884E+12,27,-50,-20,1,1.622,,,,,,,,,,
88,1.67884E+12,28,-50,-80,1,0.933,14,3.837,8,1.99,3,2.748,7,1.599,8,2.257
88,1.67884E+12,29,-20,-50,2,0.694,8,5.864,7,1.062,15,1.732,7,1.286,7,1.721
88,1.67884E+12,30,-80,-20,2,0.678,2,2.946,8,1.509,8,1.967,7,0.916,7,2.681
89,1.67884E+12,1,80,-50,1,1.457,,,,,,,,,,
89,1.67884E+12,2,-20,50,2,1.275,,,,,,,,,,
89,1.67884E+12,3,80,-80,1,1.134,,,,,,,,,,
89,1.67884E+12,4,-80,50,2,2.346,,,,,,,,,,
89,1.67884E+12,5,50,-50,1,1.997,,,,,,,,,,
89,1.67884E+12,6,20,-50,1,1.262,,,,,,,,,,
89,1.67884E+12,7,-80,20,2,1.344,,,,,,,,,,
89,1.67884E+12,8,-20,80,2,1.317,,,,,,,,,,
89,1.67884E+12,9,-20,20,2,1.152,,,,,,,,,,
89,1.67884E+12,10,50,-20,1,1.089,15,6.425,8,1.226,8,2.045,7,6.775,10,2.73
89,1.67884E+12,11,80,-20,1,0.658,18,3.168,9,1.633,6,1.676,9,2.23,10,3.176
89,1.67884E+12,12,20,-80,1,0.666,11,2.588,6,4.182,1,2.113,9,1.559,5,7.239
89,1.67884E+12,13,-50,50,2,0.644,4,9.584,7,1.853,15,3.424,9,1.649,9,2.058
89,1.67884E+12,14,-50,20,2,0.636,5,2.873,9,1.805,11,1.684,7,2.257,9,1.599
89,1.67884E+12,15,20,-20,1,0.705,11,2.163,9,1.854,8,1.909,6,4.051,7,2.514
89,1.67884E+12,16,-50,80,2,0.792,4,3.444,8,65.023,19,2.741,10,3.251,10,2.39
89,1.67884E+12,17,50,-80,1,1.295,16,2.416,9,1.846,0,2.073,10,1.906,8,2.15
89,1.67884E+12,18,-80,80,2,1.202,2,1.988,9,2.44,19,1.582,9,1.416,9,1.752
89,1.67884E+12,19,-20,-50,1,6.174,,,,,,,,,,
89,1.67884E+12,20,-80,-50,2,2.118,,,,,,,,,,
89,1.67884E+12,21,-80,-20,2,1.49,,,,,,,,,,
89,1.67884E+12,22,-50,-80,1,1.274,5,2.353,9,1.415,0,1.735,10,0.998,9,2.209
89,1.67884E+12,23,-50,-20,2,0.812,4,1.67,8,1.291,8,1.84,8,1.242,7,1.898
89,1.67884E+12,24,-20,-80,1,0.823,7,2.817,8,1.599,2,1.517,3,1.641,9,2.573
89,1.67884E+12,25,20,50,2,1.31,,,,,,,,,,
89,1.67884E+12,26,80,50,1,1.382,,,,,,,,,,
89,1.67884E+12,27,80,20,1,1.518,,,,,,,,,,
89,1.67884E+12,28,50,80,2,0.635,16,3.007,9,1.687,20,1.77,9,1.245,10,1.626
89,1.67884E+12,29,20,80,2,0.616,11,2.074,6,1.231,20,1.519,10,1.185,10,1.493
89,1.67884E+12,30,50,20,1,0.913,15,1.829,9,2.003,11,1.564,7,1.049,7,24.282
90,1.67884E+12,1,50,80,2,2.47,,,,,,,,,,
90,1.67884E+12,2,50,20,1,2.649,,,,,,,,,,
90,1.67884E+12,3,80,20,1,1.667,,,,,,,,,,
90,1.67884E+12,4,20,50,2,1.469,12,4.561,5,1.518,15,5.951,5,2.074,7,4.982
90,1.67884E+12,5,20,80,2,1.184,12,2.977,7,1.352,18,3.443,5,1.493,7,1.504
90,1.67884E+12,6,80,50,2,1.039,18,3.489,5,1.965,16,4.043,6,3.872,3,4.281
90,1.67884E+12,7,50,-20,1,1.603,,,,,,,,,,
90,1.67884E+12,8,-80,80,2,1.709,,,,,,,,,,
90,1.67884E+12,9,-20,20,2,1.735,,,,,,,,,,
90,1.67884E+12,10,50,-50,1,1.167,,,,,,,,,,
90,1.67884E+12,11,50,-80,1,0.885,,,,,,,,,,
90,1.67884E+12,12,-20,80,2,0.947,,,,,,,,,,
90,1.67884E+12,13,-50,20,2,0.98,,,,,,,,,,
90,1.67884E+12,14,80,-50,1,2.414,,,,,,,,,,
90,1.67884E+12,15,20,-80,1,1.036,,,,,,,,,,
90,1.67884E+12,16,-80,20,2,0.911,2,4.035,5,1.493,12,2.795,5,1.973,5,1.999
90,1.67884E+12,17,-50,80,2,1.815,5,4.844,5,1.516,16,6.133,5,1.369,6,2.036
90,1.67884E+12,18,-80,50,2,0.874,0,3.28,6,2.522,16,3.416,5,1.455,6,3.921
90,1.67884E+12,19,20,-50,1,1.461,13,3.919,5,2.445,3,6.448,6,1.455,6,1.77
90,1.67884E+12,20,20,-20,1,1.107,11,4.367,5,1.123,9,3.057,5,2.09,7,1.842
90,1.67884E+12,21,-20,50,2,0.558,8,4.74,5,1.471,18,3.448,6,1.345,5,2.107
90,1.67884E+12,22,-50,50,2,1.389,8,8.554,5,2.333,18,3.18,7,1.872,5,2.307
90,1.67884E+12,23,80,-20,1,1.267,20,2.694,6,1.485,8,2.814,6,2.057,7,2.47
90,1.67884E+12,24,80,-80,1,1.131,20,5.927,5,1.792,1,3.015,6,2.641,8,2.109
90,1.67884E+12,25,-80,-20,2,6.959,,,,,,,,,,
90,1.67884E+12,26,-20,-50,1,6.802,,,,,,,,,,
90,1.67884E+12,27,-50,-80,1,1.32,,,,,,,,,,
90,1.67884E+12,28,-20,-80,1,1.415,6,2.589,4,2.012,1,2.327,5,1.658,8,2.321
90,1.67884E+12,29,-80,-50,2,1.249,0,3.557,6,1.462,6,2.57,5,1.265,6,1.691
90,1.67884E+12,30,-50,-20,2,1.338,6,2.559,5,2.16,8,2.044,5,1.438,6,1.486
91,1.67884E+12,1,50,80,2,2.143,,,,,,,,,,
91,1.67884E+12,2,20,50,1,2.129,,,,,,,,,,
91,1.67884E+12,3,20,80,2,1.71,,,,,,,,,,
91,1.67884E+12,4,80,50,1,2.326,16,4.605,7,2.319,15,4.066,6,1.601,8,4.253
91,1.67884E+12,5,80,20,2,2.506,16,5.102,7,2.553,12,2.987,9,2.47,6,3.253
